TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.188675,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.190115,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.191654,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.193115,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.194653,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.196175,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.197615,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.199112,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.200605,0.09472655,0.8442382,-0.4665527,4.074574,52.21987,-36.58628
1.202112,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.203665,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.2052,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.206614,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.20804,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.209608,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.211414,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.213238,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.214643,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.216125,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.217566,0.1064453,0.8666991,-0.5080566,2.182484,46.57412,-42.21678
1.219315,0.1450195,0.9096678,-0.5119628,0.2293587,42.51528,-41.1334
1.221117,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.222784,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.224632,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.226767,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.231424,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.233377,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.235096,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.236801,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.238291,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.239788,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.241253,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.242891,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.244741,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.246256,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.247709,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.249205,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.250723,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
1.25238,0.149414,0.9213866,-0.4694824,-0.7920265,38.80739,-37.21189
